fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
32,81.45,87.75510204081633,87.1,0.15248775482177734,37.520198822021484
33,80.86,84.18367346938776,82.7,0.6297585964202881,37.51530456542969
34,82.06,85.20408163265306,87.0,0.49358269572257996,37.508174896240234
35,81.39,92.34693877551021,90.6,0.0,37.51094055175781
36,80.29,73.9795918367347,77.1,0.0,37.50498580932617
37,81.19,87.24489795918367,89.2,1.058851957321167,37.49095916748047
38,81.27,90.3061224489796,90.6,0.0,37.501705169677734
39,82.12,84.6938775510204,86.5,0.20501746237277985,37.49721145629883
40,81.34,81.63265306122449,92.7,0.14435559511184692,37.49403762817383
41,81.26,79.08163265306122,90.9,0.0,37.487220764160156
42,81.79,83.16326530612245,87.1,0.255799800157547,37.48250961303711
43,81.41,80.61224489795919,84.4,0.17683225870132446,37.48178482055664
44,81.62,92.85714285714286,91.7,0.0,37.48265075683594
45,82.35,88.77551020408163,91.0,0.0,37.47764205932617
46,82.0,84.6938775510204,87.0,0.0,37.47035598754883
47,81.22,91.3265306122449,93.4,0.0,37.457427978515625
48,81.59,72.95918367346938,72.7,0.14130772650241852,37.44866180419922
49,82.34,90.3061224489796,87.1,0.4775688052177429,37.44477844238281
50,79.49,76.0204081632653,83.4,0.0,37.442054748535156
51,81.76,89.79591836734694,88.2,0.0,37.43376159667969
52,81.6,83.6734693877551,88.2,0.09863369911909103,37.4329719543457
53,78.03,65.3061224489796,88.8,0.0,37.431034088134766
54,80.54,95.40816326530613,84.7,0.9319155216217041,37.43061828613281
55,81.48,92.34693877551021,85.6,0.3336685299873352,37.447975158691406
56,81.1,92.85714285714286,89.0,0.09592851251363754,37.44697189331055
57,81.32,90.3061224489796,88.8,0.0,37.4393310546875
58,81.92,86.22448979591837,88.2,0.12938573956489563,37.43424606323242
59,81.93,80.10204081632654,87.2,0.13426299393177032,37.42679977416992
60,81.22,77.55102040816327,84.9,0.35414472222328186,37.41847229003906
61,81.53,80.10204081632654,85.5,0.23278939723968506,37.41856002807617
62,81.98,89.28571428571429,89.6,0.0,37.41584014892578
63,81.87,84.18367346938776,89.4,0.0,37.41220474243164
64,80.61,68.36734693877551,73.7,0.0,37.40427780151367
65,81.5,89.79591836734694,90.6,0.0,37.39615249633789
66,82.63,77.04081632653062,87.9,0.0,37.39430236816406
67,81.38,77.04081632653062,86.9,0.0,37.38786315917969
68,81.97,78.06122448979592,86.2,0.2309819757938385,37.38972091674805
69,82.29,81.12244897959184,84.5,0.11723664402961731,37.387779235839844
70,81.82,74.48979591836735,80.3,0.16820232570171356,37.380149841308594
71,80.67,79.59183673469387,82.8,0.20610196888446808,37.375205993652344
72,80.75,81.63265306122449,78.5,0.41713398694992065,37.371707916259766
73,82.7,89.79591836734694,92.1,0.1733083873987198,37.375450134277344
74,80.83,75.0,83.4,0.0,37.36839294433594
75,82.01,77.55102040816327,85.3,0.7449592351913452,37.361305236816406
76,81.57,76.53061224489795,80.2,0.0,37.36001205444336
77,81.78,81.12244897959184,86.4,0.20152486860752106,37.35648727416992
78,81.4,69.89795918367346,81.8,0.14171433448791504,37.356143951416016
79,82.01,88.26530612244898,88.1,0.0,37.34860610961914
80,82.91,84.6938775510204,86.0,0.0,37.347930908203125
81,82.64,88.26530612244898,92.1,0.08428285270929337,37.342491149902344
82,82.49,78.06122448979592,86.6,0.0703323483467102,37.334957122802734
83,81.77,84.18367346938776,87.5,0.0,37.32958221435547
84,82.27,85.71428571428571,86.3,0.13687250018119812,37.326602935791016
85,82.58,82.14285714285714,84.5,0.0,37.318687438964844
86,82.84,90.3061224489796,88.8,0.10188695788383484,37.31527328491211
87,82.13,87.75510204081633,91.2,0.0,37.30707550048828
88,82.52,82.14285714285714,88.1,0.0,37.300636291503906
89,82.53,83.16326530612245,87.8,0.0,37.29423141479492
90,82.33,80.10204081632654,85.0,0.0,37.2891845703125
91,81.53,78.57142857142857,84.8,0.13812483847141266,37.28396224975586
92,82.44,79.59183673469387,87.9,0.0,37.28434753417969
93,81.94,84.6938775510204,90.4,0.1169314756989479,37.28306579589844
94,82.26,87.75510204081633,89.6,0.0,37.277374267578125
95,82.19,88.26530612244898,90.0,0.0,37.27058029174805
96,82.99,87.75510204081633,89.2,0.0,37.264949798583984
97,83.02,82.65306122448979,89.8,0.04947131872177124,37.257266998291016
98,81.23,60.714285714285715,77.1,0.0,37.247249603271484
99,82.51,85.71428571428571,84.1,0.0,37.24393844604492
100,80.58,81.12244897959184,83.3,0.1613384485244751,37.249942779541016
