fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,79.1,75.51020408163265,82.2,3.831202268600464,37.2435188293457
2,79.45,84.6938775510204,85.8,0.0,37.29765701293945
3,77.49,84.18367346938776,79.7,2.4117791652679443,37.38168716430664
4,77.6,71.42857142857143,75.1,0.0,37.42678451538086
5,79.38,87.75510204081633,85.9,0.0,37.46503448486328
6,78.49,90.81632653061224,85.9,0.7744905948638916,37.49461364746094
7,79.53,87.24489795918367,82.5,0.0,37.512916564941406
8,78.53,96.93877551020408,88.8,0.44974198937416077,37.519081115722656
9,79.3,88.77551020408163,87.8,0.0,37.52775955200195
10,78.5,81.63265306122449,83.3,0.0,37.512577056884766
11,80.06,83.6734693877551,85.9,0.0,37.51110076904297
12,78.07,86.73469387755102,83.9,0.0,37.51124572753906
13,77.63,86.22448979591837,80.9,0.0,37.52677917480469
14,79.94,80.61224489795919,77.1,0.0,37.50669860839844
15,80.06,88.26530612244898,86.0,0.0,37.521484375
16,80.88,91.3265306122449,86.3,0.0,37.532047271728516
17,79.64,85.71428571428571,83.7,0.2669018507003784,37.5294075012207
18,80.42,89.28571428571429,85.8,0.0,37.530906677246094
19,80.92,87.24489795918367,90.2,0.0,37.53009796142578
20,80.77,88.77551020408163,87.8,0.0,37.52149200439453
21,81.66,80.61224489795919,82.5,0.0,37.521697998046875
22,80.6,83.16326530612245,83.8,0.0,37.516693115234375
23,80.51,95.91836734693878,88.6,0.2878434658050537,37.5108757019043
24,79.93,68.87755102040816,74.8,0.0,37.515018463134766
25,79.63,76.0204081632653,89.5,0.0,37.502037048339844
26,80.87,84.18367346938776,89.2,0.0,37.50815200805664
27,79.53,85.20408163265306,89.3,0.4018516540527344,37.52204513549805
28,81.22,90.81632653061224,90.3,0.3442716896533966,37.52425765991211
29,82.05,81.63265306122449,85.0,0.0,37.52510070800781
30,78.78,79.59183673469387,72.5,0.0,37.51806640625
31,81.58,88.26530612244898,88.4,0.0,37.513587951660156
